division_code,division_code_num,division_title,subdivision_code,subdivision_title,group_code,group_title,class_code,class_title
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0111,Plant Nurseries
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0112,Cut Flower and Flower Seed Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0113,Vegetable Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0114,Grape Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0115,Apple and Pear Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0116,Stone Fruit Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0117,Kiwi Fruit Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,011,Horticulture and Fruit Growing,0119,Fruit Growing n.e.c.
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,012,"Grain, Sheep and Beef Cattle Farming",0121,Grain Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,012,"Grain, Sheep and Beef Cattle Farming",0122,Grain-Sheep and Grain-Beef Cattle Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,012,"Grain, Sheep and Beef Cattle Farming",0123,Sheep-Beef Cattle Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,012,"Grain, Sheep and Beef Cattle Farming",0124,Sheep Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,012,"Grain, Sheep and Beef Cattle Farming",0125,Beef Cattle Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,013,Dairy Cattle Farming,0130,Dairy Cattle Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,014,Poultry Farming,0141,Poultry Farming (Meat)
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,014,Poultry Farming,0142,Poultry Farming (Eggs)
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,015,Other Livestock Farming,0151,Pig Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,015,Other Livestock Farming,0152,Horse Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,015,Other Livestock Farming,0153,Deer Farming
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,015,Other Livestock Farming,0159,Livestock Farming n.e.c.
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,016,Other Crop Growing,0161,Sugar Cane Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,016,Other Crop Growing,0162,Cotton Growing
A,01,"Agriculture, Forestry and Fishing",0100,Agriculture,016,Other Crop Growing,0169,Crop and Plant Growing n.e.c.
A,01,"Agriculture, Forestry and Fishing",0200,Services to Agriculture; Hunting and Trapping,021,Services to Agriculture,0211,Cotton Ginning
A,01,"Agriculture, Forestry and Fishing",0200,Services to Agriculture; Hunting and Trapping,021,Services to Agriculture,0212,Shearing Services
A,01,"Agriculture, Forestry and Fishing",0200,Services to Agriculture; Hunting and Trapping,021,Services to Agriculture,0213,Aerial Agricultural Services
A,01,"Agriculture, Forestry and Fishing",0200,Services to Agriculture; Hunting and Trapping,021,Services to Agriculture,0219,Services to Agriculture n.e.c.
A,01,"Agriculture, Forestry and Fishing",0200,Services to Agriculture; Hunting and Trapping,022,Hunting and Trapping,0220,Hunting and Trapping
A,01,"Agriculture, Forestry and Fishing",0300,Forestry and Logging,030,Forestry and Logging,0301,Forestry
A,01,"Agriculture, Forestry and Fishing",0300,Forestry and Logging,030,Forestry and Logging,0302,Logging
A,01,"Agriculture, Forestry and Fishing",0300,Forestry and Logging,030,Forestry and Logging,0303,Services to Forestry
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,041,Marine Fishing,0411,Rock Lobster Fishing
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,041,Marine Fishing,0412,Prawn Fishing
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,041,Marine Fishing,0413,Finfish Trawling
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,041,Marine Fishing,0414,Squid Jigging
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,041,Marine Fishing,0415,Line Fishing
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,041,Marine Fishing,0419,Marine Fishing n.e.c.
A,01,"Agriculture, Forestry and Fishing",0400,Commercial Fishing,042,Aquaculture,0420,Aquaculture
B,02,Mining,1100,Coal Mining,110,Coal Mining,1101,Black Coal Mining
