anzsic_code_93,anzsic_name_93,anzsic_code_06,anzsic_name_06
111,Plant Nurseries,111,Nursery Production (Under Cover)
111,Plant Nurseries,112,Nursery Production (Outdoors)
111,Plant Nurseries,113,Turf Growing
112,Cut Flower and Flower Seed Growing,114,Floriculture Production (Under Cover)
112,Cut Flower and Flower Seed Growing,115,Floriculture Production (Outdoors)
113,Vegetable Growing,122,Vegetable Growing (Under Cover)
113,Vegetable Growing,0123p,Vegetable Growing (Outdoors)
114,Grape Growing,131,Grape Growing
115,Apple and Pear Growing,134,Apple and Pear Growing
116,Stone Fruit Growing,135,Stone Fruit Growing
117,Kiwi Fruit Growing,132,Kiwifruit Growing
119,Fruit Growing n.e.c.,133,Berry Fruit Growing
119,Fruit Growing n.e.c.,136,Citrus Fruit Growing
119,Fruit Growing n.e.c.,137,Olive Growing
119,Fruit Growing n.e.c.,139,Other Fruit and Tree Nut Growing
121,Grain Growing,146,Rice Growing
121,Grain Growing,149,Other Grain Growing
121,Grain Growing,0159p,Other Crop Growing n.e.c.
122,Grain-Sheep and Grain-Beef Cattle Farming,145,Grain-Sheep or Grain-Beef Cattle Farming
123,Sheep-Beef Cattle Farming,144,Sheep-Beef Cattle Farming
124,Sheep Farming,0141p,Sheep Farming (Specialised)
125,Beef Cattle Farming,0142p,Beef Cattle Farming (Specialised)
125,Beef Cattle Farming,143,Beef Cattle Feedlots (Specialised)
130,Dairy Cattle Farming,160,Dairy Cattle Farming
141,Poultry Farming (Meat),171,Poultry Farming (Meat)
142,Poultry Farming (Eggs),172,Poultry Farming (Eggs)
151,Pig Farming,192,Pig Farming
152,Horse Farming,0191p,Horse Farming
153,Deer Farming,180,Deer Farming
159,Livestock Farming n.e.c.,193,Beekeeping
159,Livestock Farming n.e.c.,199,Other Livestock Farming n.e.c.
161,Sugar Cane Growing,151,Sugar Cane Growing
162,Cotton Growing,152,Cotton Growing
169,Crop and Plant Growing n.e.c.,121,Mushroom Growing
169,Crop and Plant Growing n.e.c.,0123p,Vegetable Growing (Outdoors)
169,Crop and Plant Growing n.e.c.,0159p,Other Crop Growing n.e.c.
211,Cotton Ginning,521,Cotton Ginning
212,Shearing Services,522,Shearing Services
213,Aerial Agricultural Services,0529p,Other Agriculture and Fishing Support Services
219,Services to Agriculture n.e.c.,0141p,Sheep Farming (Specialised)
219,Services to Agriculture n.e.c.,0142p,Beef Cattle Farming (Specialised)
219,Services to Agriculture n.e.c.,0191p,Horse Farming
219,Services to Agriculture n.e.c.,0529p,Other Agriculture and Fishing Support Services
219,Services to Agriculture n.e.c.,3212p,Site Preparation Services
219,Services to Agriculture n.e.c.,3291p,Landscape Construction Services
219,Services to Agriculture n.e.c.,9539p,Other Personal Services n.e.c.
220,Hunting and Trapping,420,Hunting and Trapping
301,Forestry,0301p,Forestry
302,Logging,0301p,Forestry
302,Logging,302,Logging
302,Logging,1899p,Other Basic Chemical Product Manufacturing n.e.c.
303,Services to Forestry,510,Forestry Support Services
