division_code,division_title,subdivision_code,subdivision_title,group_code,group_title,class_code,class_title
A,"Agriculture, Forestry and Fishing",1,Agriculture,11,Nursery and Floriculture Production,111,Nursery Production (Under Cover)
A,"Agriculture, Forestry and Fishing",1,Agriculture,11,Nursery and Floriculture Production,112,Nursery Production (Outdoors)
A,"Agriculture, Forestry and Fishing",1,Agriculture,11,Nursery and Floriculture Production,113,Turf Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,11,Nursery and Floriculture Production,114,Floriculture Production (Under Cover)
A,"Agriculture, Forestry and Fishing",1,Agriculture,11,Nursery and Floriculture Production,115,Floriculture Production (Outdoors)
A,"Agriculture, Forestry and Fishing",1,Agriculture,12,Mushroom and Vegetable Growing,121,Mushroom Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,12,Mushroom and Vegetable Growing,122,Vegetable Growing (Under Cover)
A,"Agriculture, Forestry and Fishing",1,Agriculture,12,Mushroom and Vegetable Growing,123,Vegetable Growing (Outdoors)
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,131,Grape Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,132,Kiwifruit Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,133,Berry Fruit Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,134,Apple and Pear Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,135,Stone Fruit Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,136,Citrus Fruit Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,137,Olive Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,13,Fruit and Tree Nut Growing,139,Other Fruit and Tree Nut Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",141,Sheep Farming (Specialised)
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",142,Beef Cattle Farming (Specialised)
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",143,Beef Cattle Feedlots (Specialised)
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",144,Sheep-Beef Cattle Farming
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",145,Grain-Sheep or Grain-Beef Cattle Farming
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",146,Rice Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,14,"Sheep, Beef Cattle and Grain Farming",149,Other Grain Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,15,Other Crop Growing,151,Sugar Cane Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,15,Other Crop Growing,152,Cotton Growing
A,"Agriculture, Forestry and Fishing",1,Agriculture,15,Other Crop Growing,159,Other Crop Growing n.e.c.
A,"Agriculture, Forestry and Fishing",1,Agriculture,16,Dairy Cattle Farming,160,Dairy Cattle Farming
A,"Agriculture, Forestry and Fishing",1,Agriculture,17,Poultry Farming,171,Poultry Farming (Meat)
A,"Agriculture, Forestry and Fishing",1,Agriculture,17,Poultry Farming,172,Poultry Farming (Eggs)
A,"Agriculture, Forestry and Fishing",1,Agriculture,18,Deer Farming,180,Deer Farming
A,"Agriculture, Forestry and Fishing",1,Agriculture,19,Other Livestock Farming,191,Horse Farming
A,"Agriculture, Forestry and Fishing",1,Agriculture,19,Other Livestock Farming,192,Pig Farming
A,"Agriculture, Forestry and Fishing",1,Agriculture,19,Other Livestock Farming,193,Beekeeping
A,"Agriculture, Forestry and Fishing",1,Agriculture,19,Other Livestock Farming,199,Other Livestock Farming n.e.c.
A,"Agriculture, Forestry and Fishing",2,Aquaculture,20,Aquaculture,201,Offshore Longline and Rack Aquaculture
A,"Agriculture, Forestry and Fishing",2,Aquaculture,20,Aquaculture,202,Offshore Caged Aquaculture
A,"Agriculture, Forestry and Fishing",2,Aquaculture,20,Aquaculture,203,Onshore Aquaculture
A,"Agriculture, Forestry and Fishing",3,Forestry and Logging,30,Forestry and Logging,301,Forestry
A,"Agriculture, Forestry and Fishing",3,Forestry and Logging,30,Forestry and Logging,302,Logging
A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",41,Fishing,411,Rock Lobster and Crab Potting
A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",41,Fishing,412,Prawn Fishing
A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",41,Fishing,413,Line Fishing
A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",41,Fishing,414,"Fish Trawling, Seining and Netting"
A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",41,Fishing,419,Other Fishing
A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",42,Hunting and Trapping,420,Hunting and Trapping
A,"Agriculture, Forestry and Fishing",5,"Agriculture, Forestry and Fishing Support Services",51,Forestry Support Services,510,Forestry Support Services
A,"Agriculture, Forestry and Fishing",5,"Agriculture, Forestry and Fishing Support Services",52,Agriculture and Fishing Support Services,521,Cotton Ginning
A,"Agriculture, Forestry and Fishing",5,"Agriculture, Forestry and Fishing Support Services",52,Agriculture and Fishing Support Services,522,Shearing Services
A,"Agriculture, Forestry and Fishing",5,"Agriculture, Forestry and Fishing Support Services",52,Agriculture and Fishing Support Services,529,Other Agriculture and Fishing Support Services
B,Mining,6,Coal Mining,60,Coal Mining,600,Coal Mining
B,Mining,7,Oil and Gas Extraction,70,Oil and Gas Extraction,700,Oil and Gas Extraction
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,801,Iron Ore Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,802,Bauxite Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,803,Copper Ore Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,804,Gold Ore Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,805,Mineral Sand Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,806,Nickel Ore Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,807,Silver-Lead-Zinc Ore Mining
B,Mining,8,Metal Ore Mining,80,Metal Ore Mining,809,Other Metal Ore Mining
B,Mining,9,Non-Metallic Mineral Mining and Quarrying,91,Construction Material Mining,911,Gravel and Sand Quarrying
B,Mining,9,Non-Metallic Mineral Mining and Quarrying,91,Construction Material Mining,919,Other Construction Material Mining
B,Mining,9,Non-Metallic Mineral Mining and Quarrying,99,Other Non-Metallic Mineral Mining and Quarrying,990,Other Non-Metallic Mineral Mining and Quarrying
B,Mining,10,Exploration and Other Mining Support Services,101,Exploration,1011,Petroleum Exploration
B,Mining,10,Exploration and Other Mining Support Services,101,Exploration,1012,Mineral Exploration
B,Mining,10,Exploration and Other Mining Support Services,109,Other Mining Support Services,1090,Other Mining Support Services
C,Manufacturing,11,Food Product Manufacturing,111,Meat and Meat Product Manufacturing,1111,Meat Processing
C,Manufacturing,11,Food Product Manufacturing,111,Meat and Meat Product Manufacturing,1112,Poultry Processing
C,Manufacturing,11,Food Product Manufacturing,111,Meat and Meat Product Manufacturing,1113,Cured Meat and Smallgoods Manufacturing
C,Manufacturing,11,Food Product Manufacturing,112,Seafood Processing,1120,Seafood Processing
C,Manufacturing,11,Food Product Manufacturing,113,Dairy Product Manufacturing,1131,Milk and Cream Processing
C,Manufacturing,11,Food Product Manufacturing,113,Dairy Product Manufacturing,1132,Ice Cream Manufacturing
C,Manufacturing,11,Food Product Manufacturing,113,Dairy Product Manufacturing,1133,Cheese and Other Dairy Product Manufacturing
C,Manufacturing,11,Food Product Manufacturing,114,Fruit and Vegetable Processing,1140,Fruit and Vegetable Processing
C,Manufacturing,11,Food Product Manufacturing,115,Oil and Fat Manufacturing,1150,Oil and Fat Manufacturing
C,Manufacturing,11,Food Product Manufacturing,116,Grain Mill and Cereal Product Manufacturing,1161,Grain Mill Product Manufacturing
C,Manufacturing,11,Food Product Manufacturing,116,Grain Mill and Cereal Product Manufacturing,1162,"Cereal, Pasta and Baking Mix Manufacturing"
C,Manufacturing,11,Food Product Manufacturing,117,Bakery Product Manufacturing,1171,Bread Manufacturing (Factory based)
C,Manufacturing,11,Food Product Manufacturing,117,Bakery Product Manufacturing,1172,Cake and Pastry Manufacturing (Factory based)
C,Manufacturing,11,Food Product Manufacturing,117,Bakery Product Manufacturing,1173,Biscuit Manufacturing (Factory based)
C,Manufacturing,11,Food Product Manufacturing,117,Bakery Product Manufacturing,1174,Bakery Product Manufacturing (Non-factory based)
C,Manufacturing,11,Food Product Manufacturing,118,Sugar and Confectionery Manufacturing,1181,Sugar Manufacturing
C,Manufacturing,11,Food Product Manufacturing,118,Sugar and Confectionery Manufacturing,1182,Confectionery Manufacturing
C,Manufacturing,11,Food Product Manufacturing,119,Other Food Product Manufacturing,1191,"Potato, Corn and Other Crisp Manufacturing"
C,Manufacturing,11,Food Product Manufacturing,119,Other Food Product Manufacturing,1192,Prepared Animal and Bird Feed Manufacturing
C,Manufacturing,11,Food Product Manufacturing,119,Other Food Product Manufacturing,1199,Other Food Product Manufacturing n.e.c.
