major_anzsic_1993,major_anzsic_2006
Accommodation Cafes Rest.,Accommodation and Food Services
Agriculture Forestry Fishing,"Agriculture, Forestry and Fishing"
Communications,Information Media and Telecommunications
Construction,Construction
Cultural Recreational Services,Arts and Recreation Services
Education,Education and Training
Electricity Gas Water,"Electricity, Gas, Water and Waste Services"
Finance Insurance,Financial and Insurance Services
Government,Public Administration and Safety
Government,Administrative and Support Services
Health Community Services,Health Care and Social Assistance
Manufacturing,Manufacturing
Mining,Mining
NonClassified,Other Services
Personal Other Services,"Professional, Scientific and Technical Services"
Property Business Services,"Rental, Hiring and Real Estate Services"
Retail,Retail Trade
Transport Storage,"Transport, Postal and Warehousing"
Wholesale,Wholesale Trade
,Unknown
